NSeq, I1, I2, O1, O2, AI3
0, False, False, False, False, 584
1, False, False, False, False, 582
2, False, False, False, False, 582
3, False, False, False, False, 585
4, False, False, False, False, 582
5, False, False, False, False, 582
6, False, False, False, False, 582
7, False, False, False, False, 581
8, False, False, False, False, 582
9, False, False, False, False, 581
10, False, False, False, False, 583
11, False, False, False, False, 586
12, False, False, False, False, 581
13, False, False, False, False, 583
14, False, False, False, False, 583
15, False, False, False, False, 581
0, False, False, False, False, 580
1, False, False, False, False, 582
2, False, False, False, False, 582
3, False, False, False, False, 582
4, False, False, False, False, 582
5, False, False, False, False, 583
6, False, False, False, False, 583
7, False, False, False, False, 583
8, False, False, False, False, 583
9, False, False, False, False, 581
10, False, False, False, False, 581
11, False, False, False, False, 582
12, False, False, False, False, 583
13, False, False, False, False, 582
14, False, False, False, False, 582
15, False, False, False, False, 582
0, False, False, False, False, 582
1, False, False, False, False, 583
2, False, False, False, False, 582
3, False, False, False, False, 581
4, False, False, False, False, 581
5, False, False, False, False, 583
6, False, False, False, False, 581
7, False, False, False, False, 581
8, False, False, False, False, 582
9, False, False, False, False, 582
10, False, False, False, False, 581
11, False, False, False, False, 582
12, False, False, False, False, 583
13, False, False, False, False, 581
14, False, False, False, False, 585
15, False, False, False, False, 580
0, False, False, False, False, 582
1, False, False, False, False, 582
2, False, False, False, False, 582
3, False, False, False, False, 581
4, False, False, False, False, 582
5, False, False, False, False, 581
6, False, False, False, False, 582
7, False, False, False, False, 581
8, False, False, False, False, 584
9, False, False, False, False, 585
10, False, False, False, False, 586
11, False, False, False, False, 582
12, False, False, False, False, 582
13, False, False, False, False, 586
14, False, False, False, False, 579
15, False, False, False, False, 583
0, False, False, False, False, 581
1, False, False, False, False, 581
2, False, False, False, False, 581
3, False, False, False, False, 582
4, False, False, False, False, 581
5, False, False, False, False, 582
6, False, False, False, False, 582
7, False, False, False, False, 581
8, False, False, False, False, 581
9, False, False, False, False, 581
10, False, False, False, False, 580
11, False, False, False, False, 581
12, False, False, False, False, 581
13, False, False, False, False, 582
14, False, False, False, False, 582
15, False, False, False, False, 583
0, False, False, False, False, 582
1, False, False, False, False, 584
2, False, False, False, False, 581
3, False, False, False, False, 580
4, False, False, False, False, 582
5, False, False, False, False, 579
6, False, False, False, False, 583
7, False, False, False, False, 583
8, False, False, False, False, 581
9, False, False, False, False, 581
10, False, False, False, False, 579
11, False, False, False, False, 579
12, False, False, False, False, 582
13, False, False, False, False, 581
14, False, False, False, False, 581
15, False, False, False, False, 583
0, False, False, False, False, 567
1, False, False, False, False, 579
2, False, False, False, False, 579
3, False, False, False, False, 581
4, False, False, False, False, 579
5, False, False, False, False, 583
6, False, False, False, False, 581
7, False, False, False, False, 581
8, False, False, False, False, 579
9, False, False, False, False, 582
10, False, False, False, False, 583
11, False, False, False, False, 585
12, False, False, False, False, 582
13, False, False, False, False, 581
14, False, False, False, False, 583
15, False, False, False, False, 582
0, False, False, False, False, 581
1, False, False, False, False, 581
2, False, False, False, False, 581
3, False, False, False, False, 581
4, False, False, False, False, 582
5, False, False, False, False, 581
6, False, False, False, False, 581
7, False, False, False, False, 583
8, False, False, False, False, 580
9, False, False, False, False, 582
10, False, False, False, False, 579
11, False, False, False, False, 583
12, False, False, False, False, 582
13, False, False, False, False, 582
14, False, False, False, False, 581
15, False, False, False, False, 580
0, False, False, False, False, 582
1, False, False, False, False, 583
2, False, False, False, False, 583
3, False, False, False, False, 581
4, False, False, False, False, 579
5, False, False, False, False, 581
6, False, False, False, False, 582
7, False, False, False, False, 581
8, False, False, False, False, 586
9, False, False, False, False, 583
10, False, False, False, False, 579
11, False, False, False, False, 582
12, False, False, False, False, 584
13, False, False, False, False, 581
14, False, False, False, False, 582
15, False, False, False, False, 581
0, False, False, False, False, 582
1, False, False, False, False, 587
2, False, False, False, False, 581
3, False, False, False, False, 580
4, False, False, False, False, 581
5, False, False, False, False, 581
6, False, False, False, False, 583
7, False, False, False, False, 584
8, False, False, False, False, 582
9, False, False, False, False, 579
10, False, False, False, False, 581
11, False, False, False, False, 581
12, False, False, False, False, 581
13, False, False, False, False, 579
14, False, False, False, False, 580
15, False, False, False, False, 581
0, False, False, False, False, 579
1, False, False, False, False, 578
2, False, False, False, False, 583
3, False, False, False, False, 578
4, False, False, False, False, 582
5, False, False, False, False, 582
6, False, False, False, False, 580
7, False, False, False, False, 582
8, False, False, False, False, 579
9, False, False, False, False, 579
10, False, False, False, False, 577
11, False, False, False, False, 581
12, False, False, False, False, 582
13, False, False, False, False, 581
14, False, False, False, False, 580
15, False, False, False, False, 581
0, False, False, False, False, 583
1, False, False, False, False, 581
2, False, False, False, False, 583
3, False, False, False, False, 583
4, False, False, False, False, 587
5, False, False, False, False, 582
6, False, False, False, False, 580
7, False, False, False, False, 581
8, False, False, False, False, 579
9, False, False, False, False, 582
10, False, False, False, False, 582
11, False, False, False, False, 582
12, False, False, False, False, 581
13, False, False, False, False, 579
14, False, False, False, False, 583
15, False, False, False, False, 581
0, False, False, False, False, 580
1, False, False, False, False, 581
2, False, False, False, False, 585
3, False, False, False, False, 581
4, False, False, False, False, 582
5, False, False, False, False, 579
6, False, False, False, False, 581
7, False, False, False, False, 581
8, False, False, False, False, 579
9, False, False, False, False, 580
10, False, False, False, False, 581
11, False, False, False, False, 579
12, False, False, False, False, 581
13, False, False, False, False, 579
14, False, False, False, False, 584
15, False, False, False, False, 580
0, False, False, False, False, 581
1, False, False, False, False, 583
2, False, False, False, False, 583
3, False, False, False, False, 583
4, False, False, False, False, 579
5, False, False, False, False, 581
6, False, False, False, False, 579
7, False, False, False, False, 582
8, False, False, False, False, 580
9, False, False, False, False, 583
10, False, False, False, False, 582
11, False, False, False, False, 581
12, False, False, False, False, 583
13, False, False, False, False, 579
14, False, False, False, False, 582
15, False, False, False, False, 582
0, False, False, False, False, 579
1, False, False, False, False, 580
2, False, False, False, False, 578
3, False, False, False, False, 583
4, False, False, False, False, 579
5, False, False, False, False, 578
6, False, False, False, False, 581
7, False, False, False, False, 582
8, False, False, False, False, 579
9, False, False, False, False, 579
10, False, False, False, False, 579
11, False, False, False, False, 577
12, False, False, False, False, 580
13, False, False, False, False, 581
14, False, False, False, False, 582
15, False, False, False, False, 582
0, False, False, False, False, 580
1, False, False, False, False, 579
2, False, False, False, False, 579
3, False, False, False, False, 579
4, False, False, False, False, 581
5, False, False, False, False, 580
6, False, False, False, False, 580
7, False, False, False, False, 579
8, False, False, False, False, 583
9, False, False, False, False, 580
10, False, False, False, False, 582
11, False, False, False, False, 579
12, False, False, False, False, 581
13, False, False, False, False, 585
14, False, False, False, False, 582
15, False, False, False, False, 581
0, False, False, False, False, 582
1, False, False, False, False, 580
2, False, False, False, False, 579
3, False, False, False, False, 579
4, False, False, False, False, 579
5, False, False, False, False, 581
6, False, False, False, False, 582
7, False, False, False, False, 579
8, False, False, False, False, 578
9, False, False, False, False, 582
10, False, False, False, False, 580
11, False, False, False, False, 582
12, False, False, False, False, 577
13, False, False, False, False, 581
14, False, False, False, False, 579
15, False, False, False, False, 579
0, False, False, False, False, 579
1, False, False, False, False, 581
2, False, False, False, False, 580
3, False, False, False, False, 581
4, False, False, False, False, 580
5, False, False, False, False, 581
6, False, False, False, False, 581
7, False, False, False, False, 580
8, False, False, False, False, 581
9, False, False, False, False, 578
10, False, False, False, False, 585
11, False, False, False, False, 580
12, False, False, False, False, 581
13, False, False, False, False, 583
14, False, False, False, False, 578
15, False, False, False, False, 581
0, False, False, False, False, 581
1, False, False, False, False, 581
2, False, False, False, False, 581
3, False, False, False, False, 584
4, False, False, False, False, 581
5, False, False, False, False, 579
6, False, False, False, False, 580
7, False, False, False, False, 582
8, False, False, False, False, 578
9, False, False, False, False, 579
10, False, False, False, False, 580
11, False, False, False, False, 581
12, False, False, False, False, 581
13, False, False, False, False, 579
14, False, False, False, False, 581
15, False, False, False, False, 583
0, False, False, False, False, 581
1, False, False, False, False, 580
2, False, False, False, False, 580
3, False, False, False, False, 578
